"Type","Code","Name","LEI code","Address"
"AIFM REG","A00004155","BATTERYMARCH GP S.À R.L.","","30, Boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00004154","HODL PARTNERS GP S.À R.L. ","","3, Place de Clairefontaine L-1341 Luxembourg"
"AIFM REG","A00005027","OLDENBURG CAPITAL PARTNERS S.À R.L.","","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004161","NORU ALTERNATIVE INVESTMENTS","529900WNFXK0WGP19282","2-4, parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00004160","FCIF III GP S.À R.L.","","73-75, Parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00004113","QUANT INVESTMENTS","254900QIUQWZ8OJCJU39","2-4, parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00001388","MOJO.CAPITAL","","13, avenue de la Liberté L-1931 Luxembourg"
"AIFM REG","A00004118","NEVERWINTER MANAGEMENT","","2-4, parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00004119","ALTO SPECIAL SITUATIONS GP SARL","2138007NRUZKB2WBFF55","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00001071","BPM MEZZANINE FUND GP, S.A R.L.","","22, rue des Bruyères L-1274 Howald"
"AIFM REG","A00004114","100A GP","","2, place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00004120","EXOCENT PARTNERS GP SA","8945005TPPJFFDWHOQ66","22, rue Jean Wolter L-3544 Dudelange"
