"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00001355","CADELUX S.A.","52990034SBR4ZZA11U86","287, route d'Arlon L-1150 Luxembourg"
"AIFM AUT","A00001358","CORDIANT LUXEMBOURG S.A.","894500A7ISUT06MWS306","3, Wirwelt L-9970 Leithum"
"AIFM AUT","A00001359","LASALLE AIFM EUROPE S.A R.L.","254900PB0OSQG9Q1G018","34-38, avenue de la Liberté L-1930 Luxembourg"
"AIFM AUT","A00001364","KJK CAPITAL LUXEMBOURG S.A.","2221004JYKHAQOM7YX55","94, rue du Grünewald L-1912 Luxembourg"
"AIFM AUT","A00001390","LFE EUROPEAN ASSET MANAGEMENT S.A R.L.","254900VU0IO5TRXPGI73","31, avenue Monterey L-2163 Luxembourg"
"AIFM AUT","A00001392","ACAL PRIVATE EQUITY - SICAR S.C.A.","222100GZA4I7OFHMEM56","2, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00001419","FUNDER S.A.","549300XXMXUO9TJN5940","17, rue Beaumont L-1219 Luxembourg"
"AIFM AUT","A00001441","ASTORG ASSET MANAGEMENT","222100ODSYC6VRA3AE23","15, rue Edward Steichen L-2540 Luxembourg"
"AIFM AUT","A00001459","IPF MANAGEMENT S.A.","222100BVCJL3LNPVK996","2A, rue des Capucins L-1313 Luxembourg"
"AIFM AUT","A00001482","THREESTONES CAPITAL MANAGEMENT S.A.","894500D2UOTI3TJRF137","50-52, route d'Esch L-1470 Luxembourg"
"AIFM AUT","A00001599","GESTRON ASSET MANAGEMENT S.A.","254900FT6VM7L1OKQN52","5, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00001620","ABRDN INVESTMENTS LUXEMBOURG S.A.","213800K3MRPGMKRTEB15","35A, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00001627","IQ EQ FUND MANAGEMENT (LUXEMBOURG) S.A.","254900H9TYR5WI91BD90","412F, route d'Esch L-1471 Luxembourg"
"AIFM AUT","A00001676","ALPHA PRIVATE EQUITY FUNDS MANAGEMENT COMPANY","2221003XMTVNVLJF1875","15, rue Bender L-1229 Luxembourg"
"AIFM AUT","A00001683","ALMA CAPITAL INVESTMENT MANAGEMENT","5493009FW3T8XKHOE516","22-24, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00001684","WELLINGTON LUXEMBOURG S.A R.L.","2221001430CI3ZJ5XQ16","33, avenue de la Liberté L-1931 Luxembourg"
"AIFM AUT","A00001744","VISTRA FUND MANAGEMENT S.A.","549300VS2TDICBAU1318","16, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM AUT","A00001753","APIS ASSET MANAGEMENT","254900C6BP4MR5FBD703","22, rue de l'Industrie L-8399 Windhof"
"AIFM AUT","A00001768","NATAM MANAGEMENT COMPANY S.A.","549300P63V0F40OKZF09","11, rue Béatrix Bourbon L-1225 Luxembourg"
"AIFM AUT","A00001778","PRIME AIFM LUX S.A.","529900KE0BYKD6FK3682","13, rue Beaumont L-1219 Luxembourg"
"AIFM AUT","A00001852","RADIAN INVESTMENT MANAGEMENT S.A.","54930003NB494SXWTJ61","2B, rue Albert Borschette L-1246 Luxembourg"
"AIFM AUT","A00001853","INSTITUTIONAL INVESTMENT PARTNERS S.A R.L.","391200O676WIY3K4OZ16","13A, Fausermillen L-6689 Mertert"
"AIFM AUT","A00001636","ASCENDER FUND PARTNERS LUXEMBOURG","222100IJT06780BFFG52","136, route d'Arlon L-1150 Luxembourg"
"AIFM AUT","A00001908","PALLADIO (LUXEMBOURG) S.À R.L.","9845006FFD0AAFB77828","6B, route de Trèves L-2633 Senningerberg"
"AIFM AUT","A00001947","BLACKSTONE EUROPE FUND MANAGEMENT S.À R.L.","222100QVXVS5ILOG1P20","2-4, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM AUT","A00001999","CARMIGNAC GESTION LUXEMBOURG","222100590PZVW6FA2J28","7, rue de la Chapelle L-1325 Luxembourg"
"AIFM AUT","A00002090","MARGUERITE INVESTMENT MANAGEMENT S.A.","222100SII7N1KHBBT817","4, rue Fort Wallis L-2714 Luxembourg"
"AIFM AUT","A00002118","AFFM S.A.","2221009AB8S6I2B2QQ47","3, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002138","CIM EUROPE S.À R.L.","254900OUFJU832RKUP08","2, avenue Charles de Gaulle L-1653 Luxembourg"
"AIFM AUT","A00001645","EQUINOX AIFM S.A.","549300Z8LQNKPKIR2845","45, boulevard de la Pétrusse L-2320 Luxembourg"
"AIFM AUT","A00002220","NINETY ONE LUXEMBOURG S.A.","2138009JJ8B595FIUW06","2-4, avenue Marie-Thérèse L-2132 Luxembourg"
